Date,New Cars Sold,Used Cars Sold,Value of New Cars Sold,Value of Used Cars Sold,Cars Sold,Monthly Change in Cars Sold,Monthly Change in Cars Sold (%),Total Value of Cars Sold,Monthly Change in Value of Cars Sold,Monthly Change in Value of Cars Sold (%),Monthly Change in Number of New Cars Sold,Monthly Change in Number of New Cars Sold (%),Monthly Change in Value of New Cars Sold,Monthly Change in Value of New Cars Sold (%),Monthly Change in Number of Used Cars Sold,Monthly Change in Number of Used Cars Sold (%),Monthly Change in Value of Used Cars Sold,Monthly Change in Value of Used Cars Sold (%)
2014-03-01,20202,46154,629593928,420312854,66356,-5323.0,-7.426163869473623,1049906782,-277083737.0,-20.880611657180946,-6590.0,-24.596894595401608,-237132252.0,-27.35953493408957,1267.0,2.822643527079105,-39951485.0,-8.680117405315645
2014-04-01,25318,58015,778419410,530709741,83333,16977.0,25.58472481765024,1309129151,259222369.0,24.690036624603874,5116.0,25.324225324225313,148825482.0,23.638328672064326,11861.0,25.698747670841104,110396887.0,26.265408242784783
2014-05-01,29820,61277,901354171,565840381,91097,7764.0,9.316837267349065,1467194552,158065401.0,12.074087639043029,4502.0,17.781815309266126,122934761.0,15.792869424980038,3262.0,5.622683788675342,35130640.0,6.6195581663536895
2014-06-01,31504,56649,930989023,533756933,88153,-2944.0,-3.2317200346883013,1464745956,-2448596.0,-0.166889660042846,1684.0,5.647216633132124,29634852.0,3.2878143745784127,-4628.0,-7.55258906278049,-32083448.0,-5.670052735243014
2014-07-01,32620,58619,964450549,567571137,91239,3086.0,3.500731682415803,1532021686,67275730.0,4.592996466344235,1116.0,3.5424073133570433,33461526.0,3.5941912496641804,1970.0,3.477554767074431,33814204.0,6.335131575705444
2014-08-01,33299,60001,1024912743,597775943,93300,2061.0,2.2589024430342386,1622688686,90667000.0,5.918127715066812,679.0,2.0815450643776767,60462194.0,6.2690818168635865,1382.0,2.3575973660417304,30204806.0,5.321765683796564
2014-09-01,30982,56517,967003330,544939982,87499,-5801.0,-6.217577706323684,1511943312,-110745374.0,-6.824807183008852,-2317.0,-6.958166911919273,-57909413.0,-5.650179822186097,-3484.0,-5.806569890501823,-52835961.0,-8.83875666438454
2014-10-01,32431,59261,1015189704,568777644,91692,4193.0,4.7920547663401925,1583967348,72024036.0,4.763673044376682,1449.0,4.676909173068222,48186374.0,4.983061847367165,2744.0,4.855176318629795,23837662.0,4.374364661684882
2014-11-01,29250,59014,923842238,583891303,88264,-3428.0,-3.7386031496750016,1507733541,-76233807.0,-4.812839551033477,-3181.0,-9.808516542813972,-91347466.0,-8.998068601373443,-247.0,-0.41680025649246666,15113659.0,2.6572174837448337
2014-12-01,22582,46000,723803223,456675447,68582,-19682.0,-22.29901205474486,1180478670,-327254871.0,-21.70508661516869,-6668.0,-22.7965811965812,-200039015.0,-21.65294102952673,-13014.0,-22.052394347104077,-127215856.0,-21.78759220189995
2015-01-01,26419,50072,850948572,514628809,76491,7909.0,11.532180455513119,1365577381,185098711.0,15.679970820650247,3837.0,16.99140908688337,127145349.0,17.566286659102094,4072.0,8.85217391304347,57953362.0,12.69027323030134
2015-02-01,28889,48465,974532500,512446033,77354,863.0,1.1282373089644526,1486978533,121401152.0,8.890096869581932,2470.0,9.349331920208947,123583928.0,14.523078370005194,-1607.0,-3.209378494967252,-2182776.0,-0.4241457069302901
2015-03-01,22430,51038,709556549,484053250,73468,-3886.0,-5.023657470848308,1193609799,-293368734.0,-19.729184214120732,-6459.0,-22.357990930804117,-264975951.0,-27.19005789955696,2573.0,5.308985866088922,-28392783.0,-5.54063865687101
2015-04-01,27428,61346,834375096,575005263,88774,15306.0,20.833560189470248,1409380359,215770560.0,18.07714381875647,4998.0,22.28265715559519,124818547.0,17.591064049216463,10308.0,20.196716172263795,90952013.0,18.789670971117324
2015-05-01,32240,64350,988046475,632625988,96590,7816.0,8.804379660711458,1620672463,211292104.0,14.991843944094585,4812.0,17.54411550240631,153671379.0,18.417541431509843,3004.0,4.896814788250259,57620725.0,10.020903930404558
2015-06-01,29626,57563,898866880,558692764,87189,-9401.0,-9.732891603685678,1457559644,-163112819.0,-10.064514744581054,-2614.0,-8.107940446650119,-89179595.0,-9.025850226326648,-6787.0,-10.547008547008552,-73933224.0,-11.68671938908713
2015-07-01,34695,54124,1051510311,581809219,88819,1630.0,1.8695018867058932,1633319530,175759886.0,12.058503864559512,5069.0,17.109970971444,152643431.0,16.98176163749632,-3439.0,-5.974323784375379,23116455.0,4.137596992396353
2015-08-01,34179,62920,1062988492,650454487,97099,8280.0,9.32232968171225,1713442979,80123449.0,4.9055587426913405,-516.0,-1.4872460008646726,11478181.0,1.0915899615938196,8796.0,16.251570467814645,68645268.0,11.798587192892175
2015-09-01,30125,61268,958163037,618794306,91393,-5706.0,-5.8764765857526875,1576957343,-136485636.0,-7.965577942935442,-4054.0,-11.861084291524037,-104825455.0,-9.861391331036163,-1652.0,-2.6255562619199035,-31660181.0,-4.86739374280003
2015-10-01,32154,62182,1035533325,632452008,94336,2943.0,3.220159093147168,1667985333,91027990.0,5.77238125077173,2029.0,6.735269709543568,77370288.0,8.074856262692599,914.0,1.4918064895214522,13657702.0,2.2071473295037114
2015-11-01,30552,62954,991747766,653329361,93506,-830.0,-0.8798337856173677,1645077127,-22908206.0,-1.3734057216676976,-1602.0,-4.982272812091804,-43785559.0,-4.22830998703011,772.0,1.2415168376700647,20877353.0,3.301017742993717
2015-12-01,25828,54354,858213639,568019044,80182,-13324.0,-14.249352982696294,1426232683,-218844444.0,-13.302989896837826,-4724.0,-15.462162869861217,-133534127.0,-13.464525111922466,-8600.0,-13.660768179940908,-85310317.0,-13.057780974273403
2016-01-01,29062,56592,969641175,621925235,85654,5472.0,6.824474320919904,1591566410,165333727.0,11.592338961986881,3234.0,12.521294718909704,111427536.0,12.983659421893655,2238.0,4.117452257423548,53906191.0,9.490208395195987
2016-02-01,25835,45285,878106665,518918140,71120,-14534.0,-16.968267681602722,1397024805,-194541605.0,-12.223279140453835,-3227.0,-11.103846947904483,-91534510.0,-9.44003950739819,-11307.0,-19.979855810008484,-103007095.0,-16.562617048333795
2016-03-01,24257,58184,813473347,581005001,82441,11321.0,15.91816647919011,1394478348,-2546457.0,-0.18227715004673906,-1578.0,-6.10799303270757,-64633318.0,-7.360531536336756,12899.0,28.48404548967649,62086861.0,11.96467346468173
2016-04-01,30675,73163,988609546,723865536,103838,21397.0,25.95431884620516,1712475082,317996734.0,22.803992220896063,6418.0,26.45834192191945,175136199.0,21.52943297354277,14979.0,25.744190842843384,142860535.0,24.588520710512785
2016-05-01,29787,66793,943502901,693293383,96580,-7258.0,-6.989734008744386,1636796284,-75678798.0,-4.419264186408755,-888.0,-2.8948655256723743,-45106645.0,-4.562634983902935,-6370.0,-8.706586662657356,-30572153.0,-4.223457462685443
2016-06-01,31525,65659,1018042636,712783380,97184,604.0,0.6253882791468213,1730826016,94029732.0,5.7447425143347886,1738.0,5.834760130258165,74539735.0,7.900318581002441,-1134.0,-1.6977827017801261,19489997.0,2.8112192439603945
2016-07-01,34366,68750,1094447550,751886189,103116,5932.0,6.103885413236743,1846333739,115507723.0,6.673560596630179,2841.0,9.011895321173679,76404914.0,7.505079973880391,3091.0,4.707656223823076,39102809.0,5.485931644478015
2016-08-01,29636,62545,960502273,691521741,92181,-10935.0,-10.60456185267078,1652024014,-194309725.0,-10.52408461675195,-4730.0,-13.763603561659776,-133945277.0,-12.238620023408153,-6205.0,-9.025454545454547,-60364448.0,-8.028402287889346
2016-09-01,29945,70887,994401467,780694327,100832,8651.0,9.384797300962244,1775095794,123071780.0,7.449757325379891,309.0,1.0426508300715343,33899194.0,3.5293194980289266,8342.0,13.337596930210239,89172586.0,12.895124001603886
2016-10-01,28544,66056,976643490,742588270,94600,-6232.0,-6.180577594414471,1719231760,-55864034.0,-3.147099677032983,-1401.0,-4.678577391885119,-17757977.0,-1.7857955352352683,-4831.0,-6.815071874955914,-38106057.0,-4.8810469965154475
2016-11-01,27082,61678,907244735,685808210,88760,-5840.0,-6.173361522198729,1593052945,-126178815.0,-7.339255703373004,-1462.0,-5.121917040358747,-69398755.0,-7.105843197705641,-4378.0,-6.6277098219692405,-56780060.0,-7.646237126799749
2016-12-01,25381,58037,857844856,641353419,83418,-5342.0,-6.0184767913474495,1499198275,-93854670.0,-5.89149722202108,-1701.0,-6.28092459936489,-49399879.0,-5.445044439965807,-3641.0,-5.903239404649952,-44454791.0,-6.482102481683616
